internal_timestamp,gps_timestamp,lon,lat,diff_s
2000-01-01T00:25:04.900Z,2024-06-21T07:10:28Z,153.062789,-26.719749,159
2000-01-01T00:30:08.920Z,2024-06-21T07:15:32Z,153.062668,-26.719562,304
2000-01-01T00:35:44.930Z,2024-06-21T07:21:08Z,153.062787,-26.71985,336
2000-01-01T00:40:02.940Z,2024-06-21T07:25:26Z,153.062839,-26.719806,258
2000-01-01T00:45:18.950Z,2024-06-21T07:30:41Z,153.063064,-26.719597,315
2000-01-01T00:50:34.960Z,2024-06-21T07:35:58Z,153.062804,-26.719808,317
2000-01-01T00:55:18.980Z,2024-06-21T07:40:41Z,153.062832,-26.719822,283
2000-01-01T01:00:19.990Z,2024-06-21T07:45:42Z,153.062897,-26.719693,301
2000-01-01T01:11:09Z,2024-06-21T07:56:32Z,153.06263,-26.720262,650
2000-01-01T01:16:29.420Z,2024-06-21T08:01:51Z,153.062554,-26.72058,319
2000-01-01T01:21:01Z,2024-06-21T08:06:23Z,153.062377,-26.72003,272
2000-01-01T01:25:34.020Z,2024-06-21T08:10:56Z,153.062569,-26.720025,273
2000-01-01T01:30:32.020Z,2024-06-21T08:15:54Z,153.062813,-26.720367,298
2000-01-01T01:35:58.640Z,2024-06-21T08:21:20Z,153.062289,-26.72003,326
2000-01-01T01:45:37.070Z,2024-06-21T08:30:59Z,153.062677,-26.720418,579
2000-01-01T01:51:05.060Z,2024-06-21T08:36:27Z,153.062699,-26.720085,328
2000-01-01T01:56:03.260Z,2024-06-21T08:41:23Z,153.06232,-26.719895,296
2000-01-01T02:00:48.080Z,2024-06-21T08:46:10Z,153.062722,-26.720475,287
2000-01-01T02:05:21.070Z,2024-06-21T08:50:43Z,153.062415,-26.719984,273
2000-01-01T02:10:50.090Z,2024-06-21T08:56:12Z,153.0627,-26.720026,329
2000-01-01T02:15:22.750Z,2024-06-21T09:00:44Z,153.062522,-26.720149,272
2000-01-01T02:20:19.120Z,2024-06-21T09:05:41Z,153.06268,-26.720309,297
2000-01-01T02:25:41.730Z,2024-06-21T09:11:03Z,153.06239,-26.720299,322
2000-01-01T02:30:30.060Z,2024-06-21T09:15:52Z,153.06278,-26.720192,289
2000-01-01T02:35:57.100Z,2024-06-21T09:21:19Z,153.062591,-26.720027,327
2000-01-01T02:40:49.120Z,2024-06-21T09:26:11Z,153.062705,-26.720459,292
2000-01-01T02:45:48.140Z,2024-06-21T09:31:10Z,153.062596,-26.720019,299
2000-01-01T02:50:39.150Z,2024-06-21T09:36:01Z,153.062537,-26.72004,291
2000-01-01T02:55:01.230Z,2024-06-21T09:40:23Z,153.062353,-26.720185,262
2000-01-01T03:00:02.170Z,2024-06-21T09:45:24Z,153.062638,-26.720087,301
2000-01-01T03:05:08.180Z,2024-06-21T09:50:30Z,153.062579,-26.720107,306
2000-01-01T03:10:07.190Z,2024-06-21T09:55:29Z,153.062508,-26.720267,299
2000-01-01T03:15:20.230Z,2024-06-21T10:00:42Z,153.062536,-26.720014,313
2000-01-01T03:20:19.210Z,2024-06-21T10:05:41Z,153.062444,-26.720094,299
2000-01-01T03:25:50.170Z,2024-06-21T10:11:12Z,153.06236,-26.720304,331
2000-01-01T03:30:20.200Z,2024-06-21T10:15:42Z,153.062571,-26.720118,270
2000-01-01T03:35:06.210Z,2024-06-21T10:20:28Z,153.062362,-26.720468,286
2000-01-01T03:40:20.220Z,2024-06-21T10:25:42Z,153.062481,-26.720274,314
2000-01-01T03:45:40.230Z,2024-06-21T10:31:02Z,153.062447,-26.720379,320
2000-01-01T03:50:32.250Z,2024-06-21T10:35:54Z,153.062517,-26.720243,292
2000-01-01T03:55:33.240Z,2024-06-21T10:40:55Z,153.062539,-26.720039,301
2000-01-01T04:00:54.260Z,2024-06-21T10:46:16Z,153.062634,-26.720137,321
2000-01-01T04:05:50.270Z,2024-06-21T10:51:12Z,153.062479,-26.720306,296
2000-01-01T04:10:47.280Z,2024-06-21T10:56:09Z,153.062551,-26.720191,297
2000-01-01T04:15:28.230Z,2024-06-21T11:00:50Z,153.062528,-26.720115,281
2000-01-01T04:21:26.700Z,2024-06-21T11:06:48Z,153.062642,-26.720185,358
2000-01-01T04:25:46.310Z,2024-06-21T11:11:08Z,153.062509,-26.720156,260
2000-01-01T04:30:48.910Z,2024-06-21T11:16:10Z,153.062495,-26.720142,302
2000-01-01T04:35:24.300Z,2024-06-21T11:20:46Z,153.062422,-26.720039,276
